id,latitude,longitude
1450,-77.0418526403,38.9153190218
1451,-77.0412809667,38.9167429923
1452,-77.0394710379,38.9133396382
1453,-77.0418424092,38.91930305
1454,-77.0414254028,38.9198398246
1455,-77.0426497841,38.9215370031
1456,-77.0425580868,38.9215027148
1457,-77.0421955269,38.9220801898
1458,-77.0420367142,38.9216545136
1459,-77.0400815136,38.9247288398
1460,-77.0386274632,38.92502237
1461,-77.0379774926,38.9009611321
1462,-77.0377001972,38.9021968982
1463,-77.0359327602,38.9031218926
1464,-77.0339814015,38.9035822628
1465,-77.0355073264,38.9079355445
1466,-77.0381165477,38.9109289158
1467,-77.03797313,38.9098742657
1468,-77.033565457,38.9094913192
1469,-77.033565457,38.9094913192
1470,-77.0334953915,38.9098117661
1471,-77.0373152824,38.9167868453
1472,-77.0370376495,38.9168472894
1473,-77.0372628166,38.936427962
1474,-77.0330330009,38.9375940068
1475,-77.0329914284,38.938983368
1476,-77.0330261806,38.9475213222
1477,-77.0302118674,38.8949395967
1478,-77.0314698368,38.8985682841
1479,-77.0312976505,38.9010276125
1480,-77.0277856934,38.8993605129
1481,-77.0328111449,38.9021418012
1482,-77.0323140428,38.9029240451
1483,-77.030973897,38.9062520031
1484,-77.0314521864,38.9097826965
1485,-77.0317332589,38.9154311189
1486,-77.0311795804,38.916807471
1487,-77.031047207,38.9168108393
1488,-77.02864266,38.9167955087
1489,-77.0324672251,38.9322316138
1490,-77.0324544069,38.93118251
1491,-77.0324407932,38.930919201
1492,-77.032404889,38.9318552641
1493,-77.029953198,38.9314660387
1494,-77.0328467161,38.9563573161
1495,-77.0235326233,38.8993244227
1496,-77.0226543147,38.8986493296
1497,-77.0241833684,38.9091409611
1498,-77.024153191,38.9058258958
1499,-77.0273874888,38.9095060828
1500,-77.0237980518,38.9098472043
1501,-77.0273013362,38.9166687222
1502,-77.0226922337,38.9171062519
1503,-77.0267865945,38.9175819258
1504,-77.0241720959,38.9173843126
1505,-77.0238099343,38.9312814301
1506,-77.0236123832,38.9295807015
1507,-77.0231462003,38.9302296633
1508,-77.0243321888,38.9381252892
1509,-77.0214314285,38.8959678608
1510,-77.022494524,38.9000704292
1511,-77.022159314,38.8986832059
1512,-77.0221322801,38.8996094506
1513,-77.0221191676,38.9000767167
1514,-77.021640014,38.9003202123
1515,-77.021070981,38.8995438858
1516,-77.0210694907,38.8987914178
1517,-77.0210228463,38.9001143038
1518,-77.0207206914,38.9001126462
1519,-77.0192546178,38.8999977702
1520,-77.0210931743,38.9153392068
1521,-77.0196929578,38.9151691036
1522,-77.0211677062,38.9368537535
1523,-77.0151531321,38.9136346701
1524,-77.0123918635,38.9151389371
1525,-77.014338077,38.9424544355
1526,-77.00942936,38.9121333121
1527,-77.0118860287,38.9173012596
1528,-77.0051230886,38.8946235041
1529,-77.002531532,38.8950838265
1530,-77.0022632679,38.894405502
1531,-77.0061791287,38.8975384698
1532,-77.0054624758,38.9069650282
1533,-77.0011784437,38.8949485423
1534,-77.000977976,38.8944676775
1535,-77.0003986475,38.9004595032
1536,-77.0003986475,38.9004595032
1537,-76.9989222367,38.9071340574
1538,-76.9976502672,38.9087163546
1539,-77.0003154973,38.9194255771
1540,-76.9958683966,38.926123011
1541,-76.9935366803,38.9322326116
1542,-77.0856172032,38.9594167231
1543,-77.0850180847,38.9606108449
1544,-77.084844321,38.9601250656
1545,-77.084844321,38.9601250656
1546,-77.0845639754,38.9597579118
1547,-77.0762960817,38.9652767416
1548,-77.0756197268,38.964233575
1549,-77.0272526884,38.9652834129
1550,-77.0267886986,38.9830439693
1551,-77.0757384988,38.9644882515
1552,-77.0284286007,38.9615176839
1553,-77.027956566,38.9656122279
